organization_id, name, website
HOYAM,Centro de Estudio de la Hoya Amazoníca ,http://www.hoyam-mojos.org/
HSR,Hermanitas de los Ancianos Desamparados Hogar - San Ramón,
HTA,Hogar Teresa de los Andes,
ICFB,Institucion Cultural Femenina Boliviana,
FICO,Fundación ICO,http://www.fundacionico.es/
ICO,Instituto de Capacitación del Oriente,http://www.ico-bo.org/
IdLM,Instituto de la Mujer,http://www.inmujer.gob.es/
Iepala,Instituto de Estudios Politicos para America Latina y Africa,http://www.iepala.es/
IHAE,Instituto para el Hombre Agricultura Ecologia,
INDICEP,Instituto de Investigación Cultural para Educación Popular,http://www.indicep.org/
Intered,Fundacion Intered,http://www.intered.org/
IO,Intermón Oxfam,http://www.intermonoxfam.org/
IPADE,Instituto para la promoción y ayuda al desarrollo,http://www.fundacion-ipade.org/
IPENO,Centro social Ipeno Imutu,
IPTK,Instituto Politécnico Tomás Katari,http://iptk.org.bo/
IRFA,Instituto Radiofónico Fe y Alegría,
ISCOD,Instituto Sindical de Cooperación al Desarrollo ISCOD-UGT Bolivia,http://www.iscod.org/
ISF-Cat,Asociación Catalana de Ingeniería Sin Fronteras,http://www.esf-cat.org/
JCCM,Junta de Comunidades de Castilla La Mancha,http://www.jccm.es/
JCYL,Junta de Castilla y León,http://www.jcyl.es/
JdA,Junta de Andalucía (ahora AACID),http://www.juntadeandalucia.es/
JdEX,Junta de Extremadura,http://www.juntaex.es/
JTM,Jóvenes y desarrollo,http://www.jovenestercermundo.org/
JUBIL,Fundación Jubileo,
KURMI,Apoyo al Desarrollo Sostenible Interandino (Regional Cochabamba),
LLAR,Caixa Terrassa,http://www.llarct.es/contingut.aspx?idioma=2&pag=1803
Machaqa,Fundación Machaqa Amaw'ta,http://www.fundacionmachaqa.org/
MaGCP,Mancomunidad Gran Centro Potosí,
MANRIBE,Mancomunidad de Municipios del Río Beni,
MdBPCTyT,Municipios de Betanzos, Puna, Cotagaita, Tacobamba y Tinquipaya,
MdCAL,Municipio de Calamarca,
MdGMCyCC,Municipios de Gutiérrez, Montero, Comarapa y Cuatro Cañadas,
MdLyC,Municipios de Licoma y Cajuata,
MdM,Medicos del Mundo,http://www.medicosdelmundo.org/
MdMdAMB,Mancomunidad de Municipios del Área Municipal de Barcelona,
MdTT,Municipio de ToroToro,http://es.wikipedia.org/wiki/Toro_Toro
MdYyP,Municipios de Yocalla y Puna,
MMCHC,Mancomunididad de Municipios de Chuquisaca Centro,
MME,Medicus Mundi,http://www.medicusmundi.info/
Mosoj-C,Mosoj Causay,
MPDL,Movimiento por la Paz, el Desarme y la Libertad,http://www.mpdl.org/
Mundubat,Fundación Mundubat,http://www.mundubat.org/
MuniAlc,Municipio de Alcalá,
MuniBdU,Municipio de Belén de Urmiri,
MuniBET,Municipio de Betanzos,
MuniCAM,Municipo de Camargo,
MuniChaqui,Municipio de Chaque,
MuniElT,Municipio de El Torno,
MuniGuayam,Municipio de Guayamarín,
MuniHUA,Municipio de Huacareca,
MuniLPB,Municipio de los Palos Blancos,
MuniOki,Municipio de Okinawa,
MuniPorco,Municipio de Porco,
MuniPuna,Municipio de Puna,
MuniSac,Municipio de Sacaba,http://www.municipiosacaba.org/
MuniSCZ,Municipio de Santa Cruz,
MuniSJ,Municipio de San Julián,
MuniSL,Municipio de San Lucas,
MuniSop,Municipio de Sopachuy,
MuniTac,Municipio de Tacobamba,
MuniTinq,Municipio de Tinquipaya,
MuniVI,Municipio de Viacha,
MuniVILL,Municipio de El Villar,
MuniVT,Municipio de Villa Tunari,
MuniVVG,Municipio de Villa Vaca Guzmán,
MuniYap,Municipio de Yapacaní,
NORSUD,Fundación Intercultural NORSUD,http://www.norsud.org/
OFID,OPEC Fund for International Development,http://www.ofid.org/
OFPROBOL,Oficina de Proyectos para Bolivia,http://www.ofprobol.org/
OSCAR,Obras Sociales de Caminos de Acceso Rural,
OSLA,Obra Social La Caixa,http://obrasocial.lacaixa.es/
Oxfam,Oxfam Internacional,http://www.oxfam.org/es
PASOC,Pastoral Social Caritas,http://www.pasoc.org.bo/
PASOS,Fundación Participación y Sostenibilidad - PASOS,
PREDT,Prefectura Departamento de Tarija,
PMA,Programa Mundial de Alimentos,http://es.wfp.org/
PMH,Pastoral de Movilidad Humana,http://www.pmhmigrantes.org.bo/
PRIVA,Socios Particulares,
PROAGRO,Promotores Agropecuarios,http://www.proagro.org/
PROBIOMA,Productividad, Biosfera y Medio Ambiente,http://www.probioma.org.bo
Proceso,Proceso Servicios Educativos,
PROCOSI,PROgrama de COordinación en Salud Integral,http://www.procosi.org/
PROINEXA,Proinexa,
PROSCAM,Proyecto Social Cardenal Maurer,
PS,Proyecto Solidario,http://www.proyectosolidario.org/
PyD,Paz y Desarrollo,http://www.pazydesarrollo.org/
QHANA,Centro de Educación Popular QHANA,http://www.qhana.org.bo/
REDE,Red Eléctrica,http://www.ree.es/responsabilidad_corporativa/rc-compromiso_mision.asp
RedFERIA,Red Feria,http://www.redferia.org/
RENACE,Fundación RENACE (Red Nacional de Acción Ecológica),
RRubial,Fundación Ramón Rubial,http://www.institutoramonrubial.fundacionideas.es/index.php?s=5
SecRUR,Secretariado Rural,
SEDES,Secretaría de Salud,
SEMTA,Servicios Multiples de Tecnologias Apropiadas,
SEPADES,Servicios de Promoción y Apoyo al Desarrollo Sostenible,
SI,Solidaridad Internacional,http://www.solidaridad.org/
Svalorna,Svalorna Latinoamérica (Institución Sueca),http://www.svalorna.se/index.php?q=espanol
TCT,Taller Cultural Tinku,http://cedipajwordpress.com/
TIJARAIPA,Ya está por amanecer,
UE,Unión Europea,http://ec.europa.eu/europeaid/index_es.htm
UNICEF,Fondoa de Naciones Unidas para la Infancia,http://www.unicef.es/
UNITAS,Unión Nacional de Instituciones para el Trabajo Social,
UPM,Universidad Politécnica de Madrid,http://www.upm.es/
VIDEICO,Visión al Desarrollo Integral Comunal,
VSF,Veterinarios Sin Fronteras - VETERMON,http://www.veterinariossinfronteras.org/
WaynaTambo,Casa Juvenil de las Culturas - Wayna Tambo,http://perso.wanadoo.es/web_osqui/index.htm
Wiñay,Asociación Médica Privada Voluntaria Wiñay,
XdG,Xunta de Galicia,http://www.xunta.es/
Yanapi,Asociación de Apoyo a la Infancia ,http://www.yanapi.org/castellano/inici.htm
Zabalketa, Asociación para el Desarrollo Social y Cultural ZABALKETA,http://www.zabalketa.org/
